"Transaction ID","Transaction Type","Transaction Created Date","Transaction Modified Date","Product ID","Quantity","Purchase Order ID","Customer Order ID","Comments"
"35","1","2006-03-22 16:02:28","2006-03-22 16:02:28","80","75","","",""
"36","1","2006-03-22 16:02:48","2006-03-22 16:02:48","72","40","","",""
"37","1","2006-03-22 16:03:04","2006-03-22 16:03:04","52","100","","",""
"38","1","2006-03-22 16:03:09","2006-03-22 16:03:09","56","120","","",""
"39","1","2006-03-22 16:03:14","2006-03-22 16:03:14","57","80","","",""
"40","1","2006-03-22 16:03:40","2006-03-22 16:03:40","6","100","","",""
"41","1","2006-03-22 16:03:47","2006-03-22 16:03:47","7","40","","",""
"42","1","2006-03-22 16:03:54","2006-03-22 16:03:54","8","40","","",""
"43","1","2006-03-22 16:04:02","2006-03-22 16:04:02","14","40","","",""
"44","1","2006-03-22 16:04:07","2006-03-22 16:04:07","17","40","","",""
"45","1","2006-03-22 16:04:12","2006-03-22 16:04:12","19","20","","",""
"46","1","2006-03-22 16:04:17","2006-03-22 16:04:17","20","40","","",""
"47","1","2006-03-22 16:04:20","2006-03-22 16:04:20","21","20","","",""
"48","1","2006-03-22 16:04:24","2006-03-22 16:04:24","40","120","","",""
"49","1","2006-03-22 16:04:28","2006-03-22 16:04:28","41","40","","",""
"50","1","2006-03-22 16:04:31","2006-03-22 16:04:31","48","100","","",""
"51","1","2006-03-22 16:04:38","2006-03-22 16:04:38","51","40","","",""
"52","1","2006-03-22 16:04:41","2006-03-22 16:04:41","74","20","","",""
"53","1","2006-03-22 16:04:45","2006-03-22 16:04:45","77","60","","",""
"54","1","2006-03-22 16:05:07","2006-03-22 16:05:07","3","100","","",""
"55","1","2006-03-22 16:05:11","2006-03-22 16:05:11","4","40","","",""
"56","1","2006-03-22 16:05:14","2006-03-22 16:05:14","5","40","","",""
"57","1","2006-03-22 16:05:26","2006-03-22 16:05:26","65","40","","",""
"58","1","2006-03-22 16:05:32","2006-03-22 16:05:32","66","80","","",""
"59","1","2006-03-22 16:05:47","2006-03-22 16:05:47","1","40","","",""
"60","1","2006-03-22 16:05:51","2006-03-22 16:05:51","34","60","","",""
"61","1","2006-03-22 16:06:00","2006-03-22 16:06:00","43","100","","",""
"62","1","2006-03-22 16:06:03","2006-03-22 16:06:03","81","125","","",""
"63","2","2006-03-22 16:07:56","2006-03-24 11:03:00","80","30","","",""
"64","2","2006-03-22 16:08:19","2006-03-22 16:08:59","7","10","","",""
"65","2","2006-03-22 16:08:29","2006-03-22 16:08:59","51","10","","",""
"66","2","2006-03-22 16:08:37","2006-03-22 16:08:59","80","10","","",""
"67","2","2006-03-22 16:09:46","2006-03-22 16:10:27","1","15","","",""
"68","2","2006-03-22 16:10:06","2006-03-22 16:10:27","43","20","","",""
"69","2","2006-03-22 16:11:39","2006-03-24 11:00:55","19","20","","",""
"70","2","2006-03-22 16:11:56","2006-03-24 10:59:41","48","10","","",""
"71","2","2006-03-22 16:12:29","2006-03-24 10:57:38","8","17","","",""
"72","1","2006-03-24 10:41:30","2006-03-24 10:41:30","81","200","","",""
"73","2","2006-03-24 10:41:33","2006-03-24 10:41:42","81","200","","","Fill Back Ordered product, Order #40"
"74","1","2006-03-24 10:53:13","2006-03-24 10:53:13","48","100","","",""
"75","2","2006-03-24 10:53:16","2006-03-24 10:55:46","48","100","","","Fill Back Ordered product, Order #39"
"76","1","2006-03-24 10:53:36","2006-03-24 10:53:36","43","300","","",""
"77","2","2006-03-24 10:53:39","2006-03-24 10:56:57","43","300","","","Fill Back Ordered product, Order #38"
"78","1","2006-03-24 10:54:04","2006-03-24 10:54:04","41","200","","",""
"79","2","2006-03-24 10:54:07","2006-03-24 10:58:40","41","200","","","Fill Back Ordered product, Order #36"
"80","1","2006-03-24 10:54:33","2006-03-24 10:54:33","19","30","","",""
"81","2","2006-03-24 10:54:35","2006-03-24 11:02:02","19","30","","","Fill Back Ordered product, Order #33"
"82","1","2006-03-24 10:54:58","2006-03-24 10:54:58","34","100","","",""
"83","2","2006-03-24 10:55:02","2006-03-24 11:03:00","34","100","","","Fill Back Ordered product, Order #30"
"84","2","2006-03-24 14:48:15","2006-04-04 11:41:14","6","10","","",""
"85","2","2006-03-24 14:48:23","2006-04-04 11:41:14","4","10","","",""
"86","3","2006-03-24 14:49:16","2006-03-24 14:49:16","80","20","","",""
"87","3","2006-03-24 14:49:20","2006-03-24 14:49:20","81","50","","",""
"88","3","2006-03-24 14:50:09","2006-03-24 14:50:09","1","25","","",""
"89","3","2006-03-24 14:50:14","2006-03-24 14:50:14","43","25","","",""
"90","3","2006-03-24 14:50:18","2006-03-24 14:50:18","81","25","","",""
"91","2","2006-03-24 14:51:03","2006-04-04 11:09:24","40","50","","",""
"92","2","2006-03-24 14:55:03","2006-04-04 11:06:56","21","20","","",""
"93","2","2006-03-24 14:55:39","2006-04-04 11:06:13","5","25","","",""
"94","2","2006-03-24 14:55:52","2006-04-04 11:06:13","41","30","","",""
"95","2","2006-03-24 14:56:09","2006-04-04 11:06:13","40","30","","",""
"96","3","2006-03-30 16:46:34","2006-03-30 16:46:34","34","12","","",""
"97","3","2006-03-30 17:23:27","2006-03-30 17:23:27","34","10","","",""
"98","3","2006-03-30 17:24:33","2006-03-30 17:24:33","34","1","","",""
"99","2","2006-04-03 13:50:08","2006-04-03 13:50:15","48","10","","",""
"100","1","2006-04-04 11:00:54","2006-04-04 11:00:54","57","100","","",""
"101","2","2006-04-04 11:00:56","2006-04-04 11:08:49","57","100","","","Fill Back Ordered product, Order #46"
"102","1","2006-04-04 11:01:14","2006-04-04 11:01:14","34","50","","",""
"103","1","2006-04-04 11:01:35","2006-04-04 11:01:35","43","250","","",""
"104","3","2006-04-04 11:01:37","2006-04-04 11:01:37","43","300","","","Fill Back Ordered product, Order #41"
"105","1","2006-04-04 11:01:55","2006-04-04 11:01:55","8","25","","",""
"106","2","2006-04-04 11:01:58","2006-04-04 11:07:37","8","25","","","Fill Back Ordered product, Order #48"
"107","1","2006-04-04 11:02:17","2006-04-04 11:02:17","34","300","","",""
"108","2","2006-04-04 11:02:19","2006-04-04 11:08:14","34","300","","","Fill Back Ordered product, Order #47"
"109","1","2006-04-04 11:02:37","2006-04-04 11:02:37","19","25","","",""
"110","2","2006-04-04 11:02:39","2006-04-04 11:41:14","19","10","","","Fill Back Ordered product, Order #42"
"111","1","2006-04-04 11:02:56","2006-04-04 11:02:56","19","10","","",""
"112","2","2006-04-04 11:02:58","2006-04-04 11:07:37","19","25","","","Fill Back Ordered product, Order #48"
"113","1","2006-04-04 11:03:12","2006-04-04 11:03:12","72","50","","",""
"114","2","2006-04-04 11:03:14","2006-04-04 11:08:49","72","50","","","Fill Back Ordered product, Order #46"
"115","1","2006-04-04 11:03:38","2006-04-04 11:03:38","41","50","","",""
"116","2","2006-04-04 11:03:39","2006-04-04 11:09:24","41","50","","","Fill Back Ordered product, Order #45"
"117","2","2006-04-04 11:04:55","2006-04-04 11:05:04","34","87","","",""
"118","2","2006-04-04 11:35:50","2006-04-04 11:35:54","51","30","","",""
"119","2","2006-04-04 11:35:51","2006-04-04 11:35:54","7","30","","",""
"120","2","2006-04-04 11:36:15","2006-04-04 11:36:21","17","40","","",""
"121","2","2006-04-04 11:36:39","2006-04-04 11:36:47","6","90","","",""
"122","2","2006-04-04 11:37:06","2006-04-04 11:37:09","4","30","","",""
"123","2","2006-04-04 11:37:45","2006-04-04 11:37:49","48","40","","",""
"124","2","2006-04-04 11:38:07","2006-04-04 11:38:11","48","40","","",""
"125","2","2006-04-04 11:38:27","2006-04-04 11:38:32","41","10","","",""
"126","2","2006-04-04 11:38:48","2006-04-04 11:38:53","43","5","","",""
"127","2","2006-04-04 11:39:12","2006-04-04 11:39:29","40","40","","",""
"128","2","2006-04-04 11:39:50","2006-04-04 11:39:53","8","20","","",""
"129","2","2006-04-04 11:40:13","2006-04-04 11:40:16","80","15","","",""
"130","2","2006-04-04 11:40:32","2006-04-04 11:40:38","74","20","","",""
"131","2","2006-04-04 11:41:39","2006-04-04 11:41:45","72","40","","",""
"132","2","2006-04-04 11:42:17","2006-04-04 11:42:26","3","50","","",""
"133","2","2006-04-04 11:42:24","2006-04-04 11:42:26","8","3","","",""
"134","2","2006-04-04 11:42:48","2006-04-04 11:43:08","20","40","","",""
"135","2","2006-04-04 11:43:05","2006-04-04 11:43:08","52","40","","",""
"136","3","2006-04-25 17:04:05","2006-04-25 17:04:57","56","110","","",""
